17:05:32.109 INFO  [] Mapped "{[/api/search/suggest],methods=[POST]}" onto public java.util.List<com.dataparse.server.service.files.AbstractFile> com.dataparse.server.controllers.SearchController.suggest(com.dataparse.server.controllers.api.search.SearchRequest) 
17:05:32.123 INFO  [] Mapped "{[/share/check/public/{shareId}],methods=[GET]}" onto public com.dataparse.server.controllers.api.share.ShareDatadocCheckResponse com.dataparse.server.controllers.ShareController.isPublicAccessible(java.util.UUID) throws com.dataparse.server.controllers.AuthenticationController$NotFoundException 
17:05:32.123 INFO  [] Mapped "{[/share/info/{datadocId}],methods=[GET]}" onto public com.dataparse.server.controllers.api.share.ShareDatadocInfo com.dataparse.server.controllers.ShareController.retrieveShareDatadocInfo(java.lang.Long) 
17:05:32.124 INFO  [] Mapped "{[/share/select_shared_state],methods=[POST]}" onto public void com.dataparse.server.controllers.ShareController.selectSharedState(com.dataparse.server.controllers.api.share.SelectSharedStateRequest) 
17:05:32.126 INFO  [] Mapped "{[/share/{datadocId}/shared_tabs],methods=[GET]}" onto public java.util.List<com.dataparse.server.service.visualization.bookmark_state.dto.BookmarkStateViewDTO> com.dataparse.server.controllers.ShareController.getDatadocSharedTabs(java.lang.Long) 
17:05:32.127 INFO  [] Mapped "{[/share/update],methods=[POST]}" onto public void com.dataparse.server.controllers.ShareController.updateUserPermissions(com.dataparse.server.controllers.api.share.UpdatePermissionsRequest) 
17:05:32.127 INFO  [] Mapped "{[/share/{datadocId}/{userId}],methods=[DELETE]}" onto public void com.dataparse.server.controllers.ShareController.revokePermissions(java.lang.Long,java.lang.Long) 
17:05:32.127 INFO  [] Mapped "{[/share/users_hint],methods=[POST]}" onto public java.util.List<com.dataparse.server.service.user.User> com.dataparse.server.controllers.ShareController.usersToShareHint(com.dataparse.server.controllers.api.share.UsersToShareRequest) 
17:05:32.128 INFO  [] Mapped "{[/share/public],methods=[POST]}" onto public void com.dataparse.server.controllers.ShareController.publicShareTab(com.dataparse.server.controllers.api.share.PublicShareDatadocRequest) 
17:05:32.128 INFO  [] Mapped "{[/share],methods=[POST]}" onto public com.dataparse.server.controllers.api.share.ShareDatadocResponse com.dataparse.server.controllers.ShareController.shareDatadoc(com.dataparse.server.controllers.api.share.ShareDatadocRequest) 
17:05:32.128 INFO  [] Mapped "{[/share/check/{id}],methods=[GET]}" onto public com.dataparse.server.controllers.api.share.ShareDatadocCheckResponse com.dataparse.server.controllers.ShareController.isSharedDatadoc(java.lang.Long) 
17:05:32.130 INFO  [] Mapped "{[/api/stats],methods=[GET]}" onto public java.util.Map com.dataparse.server.controllers.StatsController.getStats() 
17:05:32.131 INFO  [] Mapped "{[/api/stats/cleanup],methods=[POST]}" onto public java.util.Map com.dataparse.server.controllers.StatsController.cleanOldIndices() 
